form	lemma	POS	morph
ཨོཾ་	ཨོཾ་	X
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
མང་	མང་	VERB
དུ་	ལ་	PART
བཞུགས་པ་	བཞུགས་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
སི་ཏུ་	སི་ཏུ་	PROPN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
དང་	དང་	NO_POS
།		PUNCT
བེ་ལོ་	བེ་ལོ་	NO_POS
ཚེ་དབང་	ཚེ་དབང་	PROPN
ཀུན་ཁྱབ་	ཀུན་ཁྱབ་	OTHER
བླ་སློབ་	བླ་སློབ་	NO_POS
ཀྱིས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
གསེར་	གསེར་	NOUN
ཕྲེང་	ཕྲེང་	OTHER
གི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
ཟླ་བ་	ཟླ་བ་	NOUN
ཆུ་ཤེལ་	ཆུ་ཤེལ་	OTHER
གྱི་	གི་	PART
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
འདི་	འདི་	DET
ཁྱད་པར་	ཁྱད་པར་	NOUN
དུ་	ལ་	PART
འཕགས་པ་	འཕགས་པ་	VERB
ར་	ལ་	PART
བཞུགས་	བཞུགས་	VERB
མོད་	མོད་	VERB
།		PUNCT
འོན་ཀྱང་	འོན་ཀྱང་	NO_POS
བཀའ་འབུམ་	བཀའ་འབུམ་	NOUN
གྱི་	གི་	PART
ཁྲོད་	ཁྲོད་	NOUN
དུ་པ་	དུ་པ་	PART
ར་	ལ་	PART
བསྐྲུན་	བསྐྲུན་	NO_POS
གནང་བ་	གནང་བ་	NO_POS
ཙམ་	ཙམ་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
ཟུར་	ཟུར་	NOUN
དུ་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
བརྟེན་	བརྟེན་	VERB
།		PUNCT
དཔེ་ཆ་བ་	དཔེ་ཆ་བ་	NOUN
རྣམས་	རྣམས་	DET
ནི་	ནི་	NO_POS
དཔལ་འབྱོར་	དཔལ་འབྱོར་	OTHER
གྱི་	གི་	PART
རྒྱབ་རྟེན་	རྒྱབ་རྟེན་	NOUN
ལ་	ལ་	PART
དེ་ཙམ་	དེ་ཙམ་	NO_POS
དོ་སྣང་	དོ་སྣང་	NO_POS
མི་	མི་	PART
གནང་བ་	གནང་བ་	NO_POS
ཁོ་ན་	ཁོ་ན་	DET
ཡིན་	ཡིན་	NO_POS
སྟབས་	སྟབས་	NOUN
དེ་	སྟེ་	PART
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
བཀའ་འབུམ་	བཀའ་འབུམ་	NOUN
ཆ་	ཆ་	NOUN
ཚང་	ཚང་	VERB
བླུ་ཡོན་	བླུ་ཡོན་	NO_POS
ཞུ་བ་	ཞུ་བ་	VERB
འམ་	གམ་	PART
།		PUNCT
བཀའ་འབུམ་	བཀའ་འབུམ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཟུར་	ཟུར་	NOUN
དུ་	ལ་	PART
བཏོན་	བཏོན་	NO_POS
དགོས་	དགོས་	VERB
ན་	ལ་	PART
སྟབས་	སྟབས་	NOUN
མ་	མ་	PART
བདེ་	བདེ་	VERB
ཞིང་	ཅིང་	PART
།		PUNCT
གྲྭ་	གྲྭ་	NOUN
རྐྱང་	རྐྱང་	OTHER
བྱ་བྲལ་བ་	བྱ་བྲལ་བ་	PROPN
དེ་དག་	དེ་དག་	OTHER
ནི་	ནི་	NO_POS
མཁས་པ་	མཁས་པ་	VERB
དང་	དང་	NO_POS
གྲུབ་ཐོབ་	གྲུབ་ཐོབ་	NOUN
འབྱུང་བ་	འབྱུང་བ་	VERB
འི་	གི་	PART
ཆུ་	ཆུ་	NOUN
མགོ་	མགོ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
ཡིན་པ་	ཡིན་པ་	AUX
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
དེ་དག་	དེ་དག་	OTHER
ལ་	ལ་	PART
ཞབས་	ཞབས་	NOUN
ཞུ་	ཞུ་	VERB
འགྲུབ་པ་	འགྲུབ་པ་	VERB
འི་	གི་	PART
རེ་བ་	རེ་བ་	VERB
ས་	གིས་	PART
བཀའ་འབུམ་	བཀའ་འབུམ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཟུར་	ཟུར་	NOUN
དུ་	ལ་	PART
དེབ་	དེབ་	NOUN
གཟུགས་	གཟུགས་	NOUN
སུ་པ་	སུ་པ་	PART
ར་	ལ་	PART
བསྐྲུན་	བསྐྲུན་	NO_POS
ཞུ་	ཞུ་	VERB
ལགས་པ་	ལགས་པ་	AUX
དང་	དང་	NO_POS
།		PUNCT
ལྷག་པ་		
སི་ཏུ་	སི་ཏུ་	PROPN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ཀྱིས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
བསྟར་	བསྟར་	NO_POS
གནང་བ་	གནང་བ་	NO_POS
འི་	གི་	PART
གསེར་	གསེར་	NOUN
ཕྲེང་	ཕྲེང་	OTHER
གི་	གི་	PART
ཞལ་ཐང་	ཞལ་ཐང་	OTHER
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
འདྲེན་བྱེད་	འདྲེན་བྱེད་	OTHER
དུ་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
ཙམ་	ཙམ་	DET
གྱིས་	གིས་	PART
ཡིད་	ཡིད་	NOUN
ཀྱི་	གི་	PART
བརྟན་པ་	བརྟན་པ་	VERB
དབང་མེད་	དབང་མེད་	ADJ
དུ་	ལ་	PART
འཕྲོག་པ་	འཕྲོག་པ་	VERB
ཞིག་	ཅིག་	PART
བཞུགས་པ་	བཞུགས་པ་	VERB
ཀ་		
ཤོད་	ཤོད་	VERB
ལྷ་	ལྷ་	NOUN
བྲིས་པ་	བྲིས་པ་	VERB
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
ག་	ག་	PRON
ཤོག་	ཤོག་	VERB
གི་	གི་	PART
ལམ་	གམ་	PART
ན་	ནས་	PART
དཔེ་	དཔེ་	NOUN
བཤུས་	བཤུས་	NO_POS
བྱས་པ་	བྱས་པ་	VERB
ཞིག་	ཅིག་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
མཉན་པ་	མཉན་པ་	VERB
སྐུ་ཕྲེང་	སྐུ་ཕྲེང་	NOUN
དགུ་པ་	དགུ་པ་	ADJ
བོད་	བོད་	PROPN
ན་	ནས་	PART
བྲོ་	བྲོ་	VERB
ཕེབས་	ཕེབས་	NO_POS
སྐབས་	སྐབས་	NOUN
སྐུ་ངལ་	སྐུ་ངལ་	NO_POS
ལ་མ་	ལ་མ་	NO_POS
འཛེམ་པ་	འཛེམ་པ་	VERB
ར་	ལ་	PART
གདན་འདྲེན་	གདན་འདྲེན་	NOUN
ཞུ་	ཞུ་	VERB
ན་	ནས་	PART
རུམ་	རུམ་	NOUN
བཏེག་	བཏེག་	VERB
བཤད་སྒྲུབ་	བཤད་སྒྲུབ་	NOUN
ཆོས་འཁོར་	ཆོས་འཁོར་	NOUN
གླིང་	གླིང་	NOUN
ལ་	ལ་	PART
ཕུལ་བ་	ཕུལ་བ་	VERB
དེ་ཉིད་	དེ་ཉིད་	NOUN
།		PUNCT
ཕྱི་	ཕྱི་	VERB
སུ་	ལ་	PART
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
རང་བྱུང་	རང་བྱུང་	NOUN
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ས་	གིས་	PART
རྒྱ་	རྒྱ་	NOUN
བལ་	བལ་	PROPN
སོགས་	སོགས་	DET
སུ་	ལ་	PART
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
མེ་རོ་	མེ་རོ་	NOUN
གསོ་བ་	གསོ་བ་	VERB
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
བསྐྱང་བ་	བསྐྱང་བ་	VERB
འི་	གི་	PART
སྐབས་	སྐབས་	NOUN
།		PUNCT
སི་ཏུ་	སི་ཏུ་	PROPN
ཆོས་འབྱུང་	ཆོས་འབྱུང་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཕྱི་	ཕྱི་	VERB
སུ་	ལ་	PART
བྱོན་པ་	བྱོན་པ་	VERB
འི་	གི་	PART
གསེར་	གསེར་	NOUN
ཕྲེང་	ཕྲེང་	OTHER
ན་རིམ་	ན་རིམ་	OTHER
གྱི་	གི་	PART
ཞལ་ཐང་	ཞལ་ཐང་	OTHER
ཁ་	ཁ་	PRON
བསྐང་བ་	བསྐང་བ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
།		PUNCT
ཟུར་	ཟུར་	NOUN
མང་	མང་	VERB
ལྷ་	ལྷ་	NOUN
བྲིས་	བྲིས་	VERB
བཀྲ་	བཀྲ་	NO_POS
རྒྱལ་	རྒྱལ་	VERB
ན་	ནས་	PART
བསྟན་པ་	བསྟན་པ་	VERB
ལ་	ལ་	PART
ཕན་པ་	ཕན་པ་	VERB
འི་	གི་	PART
ལྷག་བསམ་	ལྷག་བསམ་	NOUN
ཁོ་ན་	ཁོ་ན་	DET
ས་	གིས་	PART
ཁ་	ཁ་	PRON
བསྐང་	བསྐང་	NO_POS
གི་	གི་	PART
ཞལ་ཐང་	ཞལ་ཐང་	OTHER
ཆ་	ཆ་	NOUN
ཚང་	ཚང་	VERB
བྲིས་	བྲིས་	VERB
ན་	ནས་	PART
ཕུལ་བ་	ཕུལ་བ་	VERB
བཅའ་	བཅའ་	VERB
བཞུགས་	བཞུགས་	VERB
ཡོད་	ཡོད་	VERB
ཀྱང་	ཀྱང་	PART
།		PUNCT
ཁ་ཤ་	ཁ་ཤ་	OTHER
ཀྱིས་	གིས་	PART
ལྷ་	ལྷ་	NOUN
ངོ་	གོ་	PART
ཇི་བཞིན་	ཇི་བཞིན་	OTHER
མི་	མི་	PART
མཁྱེན་པ་	མཁྱེན་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ཡང་	ཀྱང་	PART
གཙོ་བོ་	གཙོ་བོ་	ADJ
ཙམ་	ཙམ་	DET
ངོས་ཟིན་	ངོས་ཟིན་	NO_POS
ཀྱང་	ཀྱང་	PART
།		PUNCT
འཁོར་	འཁོར་	NOUN
རྣམས་	རྣམས་	DET
ཞལ་	ཞལ་	NOUN
མི་	མི་	PART
འཚོ་བ་	འཚོ་བ་	VERB
སོགས་	སོགས་	DET
ཡོད་པ་	ཡོད་པ་	VERB
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
ཕན་པ་	ཕན་པ་	VERB
འི་	གི་	PART
ཆེད་	ཆེད་	NOUN
དུ་	ལ་	PART
།		PUNCT
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
དང་	དང་	NO_POS
ཞལ་ཐང་	ཞལ་ཐང་	OTHER
ལྷན་	ལྷན་	NOUN
དུ་	ལ་	PART
བཞུགས་པ་	བཞུགས་པ་	VERB
འདི་ཉིད་པ་	འདི་ཉིད་པ་	OTHER
ར་	ལ་	PART
བསྐྲུན་	བསྐྲུན་	NO_POS
ཞུ་	ཞུ་	VERB
སྐབས་	སྐབས་	NOUN
།		PUNCT
རྡོ་		
སློབ་	སློབ་	VERB
བསྟན་	བསྟན་	VERB
དགའ་	དགའ་	VERB
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
ས་	གིས་	PART
གསེར་	གསེར་	NOUN
ཕྲེང་	ཕྲེང་	OTHER
ཞལ་ཐང་	ཞལ་ཐང་	OTHER
གཙོ་འཁོར་	གཙོ་འཁོར་	OTHER
ཡོངས་རྫོགས་	ཡོངས་རྫོགས་	OTHER
ཀྱི་	གི་	PART
མཚན་བྱང་	མཚན་བྱང་	NOUN
གཅེ་	གཅེ་	VERB
ཉ་	ཉ་	NOUN
ར་	ལ་	PART
གནང་བ་	གནང་བ་	NO_POS
གཡར་པོ་	གཡར་པོ་	NOUN
བཀའ་དྲིན་	བཀའ་དྲིན་	NOUN
བྱུང་བ་	བྱུང་བ་	VERB
ས་	གིས་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆེ་	ཆེ་	VERB
ཞུ་	ཞུ་	VERB
རྒྱུ་	རྒྱུ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
རང་	རང་	PRON
སློབ་	སློབ་	VERB
ནུབ་	ནུབ་	ADV
རི་	རི་	NOUN
འི་	གི་	PART
གྲྭ་	གྲྭ་	NOUN
ལྷ་	ལྷ་	NOUN
བྲིས་པ་	བྲིས་པ་	VERB
ཀརྨ་	ཀརྨ་	NO_POS
དགྲ་	དགྲ་	NOUN
འདུལ་	འདུལ་	NO_POS
གྱིས་	གིས་	PART
ཨང་	ཨང་	NO_POS
གི་	གི་	PART
དང་	དང་	NO_POS
མཚན་བྱང་	མཚན་བྱང་	NOUN
བྲིས་	བྲིས་	VERB
ཡུལ་	ཡུལ་	NOUN
།		PUNCT
རི་མོ་	རི་མོ་	NOUN
བྲིས་	བྲིས་	VERB
ཤིང་	ཅིང་	PART
།		PUNCT
བཤད་	བཤད་	VERB
གྲྭའི་		NON_WORD
དཔེ་ཁྲིད་པ་	དཔེ་ཁྲིད་པ་	OTHER
ཚེ་རིང་	ཚེ་རིང་	NOUN
གིས་	གིས་	PART
གང་	གང་	NO_POS
སྤྱི་		
གྲ་འགྲིག་	གྲ་འགྲིག་	NO_POS
ས་	གིས་	PART
གནང་བ་	གནང་བ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
ཐེ་	ཐེ་	NO_POS
ཝན་		NON_WORD
དུ་	ལ་	PART
བཞུགས་པ་	བཞུགས་པ་	VERB
འི་	གི་	PART
རང་	རང་	PRON
དགོན་	དགོན་	OTHER
གྱི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
ཀརྨ་	ཀརྨ་	NO_POS
ཚེ་དབང་	ཚེ་དབང་	PROPN
གིས་པ་	གིས་པ་	PART
ར་	ལ་	PART
བསྐྲུན་	བསྐྲུན་	NO_POS
གྱི་	གི་	PART
སྦྱིན་བདག་	སྦྱིན་བདག་	NOUN
གནང་བ་	གནང་བ་	NO_POS
བཅའ་	བཅའ་	VERB
ཀྱི་	གི་	PART
མཐུན་	མཐུན་	VERB
རྐྱེན་	རྐྱེན་	NOUN
ལ་	ལ་	PART
བརྟེན་	བརྟེན་	VERB
ན་	ནས་	PART
དེབ་	དེབ་	NOUN
འདི་པ་	འདི་པ་	PRON
ར་	ལ་	PART
བསྐྲུན་	བསྐྲུན་	NO_POS
ཞུ་	ཞུ་	VERB
ཐུབ་པ་	ཐུབ་པ་	VERB
ལ་	ལ་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆེ་	ཆེ་	VERB
ཞུ་	ཞུ་	VERB
རྒྱུ་	རྒྱུ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
ད་ལམ་	ད་ལམ་	NO_POS
རིག་	རིག་	VERB
མཛོད་	མཛོད་	NOUN
དུ་	ལ་	PART
བཅུག་	བཅུག་	VERB
སྐབས་	སྐབས་	NOUN
ཉམས་མྱོང་	ཉམས་མྱོང་	NOUN
དམན་པ་	དམན་པ་	VERB
སོགས་	སོགས་	DET
ཀྱིས་	གིས་	PART
ཞན་ཆ་	ཞན་ཆ་	NO_POS
བྱུང་བ་	བྱུང་བ་	VERB
ཁག་	ཁག་	NOUN
མཁའ་	མཁའ་	VERB
དབང་	དབང་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
བཤགས་	བཤགས་	NO_POS
ཤིང་	ཅིང་	PART
།		PUNCT
བཀའ་	བཀའ་	NOUN
བསླབ་	བསླབ་	VERB
སོགས་	སོགས་	DET
ལྷུག་སྩོལ་	ལྷུག་སྩོལ་	NO_POS
བཀའ་དྲིན་	བཀའ་དྲིན་	NOUN
ཞུ་	ཞུ་	VERB
།		PUNCT
ཁྲ་	ཁྲ་	NOUN
འགུ་		NON_WORD
སྤྲུལ་	སྤྲུལ་	VERB
མིང་པ་	མིང་པ་	NO_POS
ས་	གིས་	PART
།		PUNCT
